Ид сделки;External ID;Синтаксис компании
9732;__export__.crm_lead_BXDeal_9732;__export__.res_partner_BXCompany_
9720;__export__.crm_lead_BXDeal_9720;__export__.res_partner_BXCompany_
9134;__export__.crm_lead_BXDeal_9134;__export__.res_partner_BXCompany_
5449;__export__.crm_lead_BXDeal_5449;__export__.res_partner_BXCompany_
9102;__export__.crm_lead_BXDeal_9102;__export__.res_partner_BXCompany_
9054;__export__.crm_lead_BXDeal_9054;__export__.res_partner_BXCompany_
9006;__export__.crm_lead_BXDeal_9006;__export__.res_partner_BXCompany_
8612;__export__.crm_lead_BXDeal_8612;__export__.res_partner_BXCompany_
7701;__export__.crm_lead_BXDeal_7701;__export__.res_partner_BXCompany_
8890;__export__.crm_lead_BXDeal_8890;__export__.res_partner_BXCompany_
8930;__export__.crm_lead_BXDeal_8930;__export__.res_partner_BXCompany_
8848;__export__.crm_lead_BXDeal_8848;__export__.res_partner_BXCompany_
4625;__export__.crm_lead_BXDeal_4625;__export__.res_partner_BXCompany_
9586;__export__.crm_lead_BXDeal_9586;__export__.res_partner_BXCompany_
4749;__export__.crm_lead_BXDeal_4749;__export__.res_partner_BXCompany_
9600;__export__.crm_lead_BXDeal_9600;__export__.res_partner_BXCompany_
9608;__export__.crm_lead_BXDeal_9608;__export__.res_partner_BXCompany_
9606;__export__.crm_lead_BXDeal_9606;__export__.res_partner_BXCompany_
9604;__export__.crm_lead_BXDeal_9604;__export__.res_partner_BXCompany_
9602;__export__.crm_lead_BXDeal_9602;__export__.res_partner_BXCompany_
9598;__export__.crm_lead_BXDeal_9598;__export__.res_partner_BXCompany_
9596;__export__.crm_lead_BXDeal_9596;__export__.res_partner_BXCompany_
9594;__export__.crm_lead_BXDeal_9594;__export__.res_partner_BXCompany_
9592;__export__.crm_lead_BXDeal_9592;__export__.res_partner_BXCompany_
9590;__export__.crm_lead_BXDeal_9590;__export__.res_partner_BXCompany_
9588;__export__.crm_lead_BXDeal_9588;__export__.res_partner_BXCompany_
9558;__export__.crm_lead_BXDeal_9558;__export__.res_partner_BXCompany_
9536;__export__.crm_lead_BXDeal_9536;__export__.res_partner_BXCompany_
9336;__export__.crm_lead_BXDeal_9336;__export__.res_partner_BXCompany_
9334;__export__.crm_lead_BXDeal_9334;__export__.res_partner_BXCompany_
8700;__export__.crm_lead_BXDeal_8700;__export__.res_partner_BXCompany_
9242;__export__.crm_lead_BXDeal_9242;__export__.res_partner_BXCompany_
8596;__export__.crm_lead_BXDeal_8596;__export__.res_partner_BXCompany_
8816;__export__.crm_lead_BXDeal_8816;__export__.res_partner_BXCompany_
9122;__export__.crm_lead_BXDeal_9122;__export__.res_partner_BXCompany_
8620;__export__.crm_lead_BXDeal_8620;__export__.res_partner_BXCompany_
9304;__export__.crm_lead_BXDeal_9304;__export__.res_partner_BXCompany_
8884;__export__.crm_lead_BXDeal_8884;__export__.res_partner_BXCompany_
9174;__export__.crm_lead_BXDeal_9174;__export__.res_partner_BXCompany_
8998;__export__.crm_lead_BXDeal_8998;__export__.res_partner_BXCompany_
